college_code,college_name,college_type,branch_code,branch_name,cap_round,category,closing_rank,closing_percentile
1002,"Government College of Engineering, Amravati",Government Autonomous,100219110,Civil Engineering,I,GOPENS,21750,85.7691222
1002,"Government College of Engineering, Amravati",Government Autonomous,100219110,Civil Engineering,I,GSCS,32144,78.5189539
1002,"Government College of Engineering, Amravati",Government Autonomous,100219110,Civil Engineering,I,GSTS,49581,65.3394562
1002,"Government College of Engineering, Amravati",Government Autonomous,100219110,Civil Engineering,I,GVJS,30806,79.5415810
1002,"Government College of Engineering, Amravati",Government Autonomous,100219110,Civil Engineering,I,GNT1S,23850,84.2624154
1002,"Government College of Engineering, Amravati",Government Autonomous,100219110,Civil Engineering,I,GNT2S,23704,84.4335948
1002,"Government College of Engineering, Amravati",Government Autonomous,100219110,Civil Engineering,I,GNT3S,44825,68.9918585
1002,"Government College of Engineering, Amravati",Government Autonomous,100219110,Civil Engineering,I,GOBCS,25843,83.0877787
1002,"Government College of Engineering, Amravati",Government Autonomous,100219110,Civil Engineering,I,LOPENS,22019,85.5868079
1002,"Government College of Engineering, Amravati",Government Autonomous,100219110,Civil Engineering,I,LSCS,27275,82.0130279
1002,"Government College of Engineering, Amravati",Government Autonomous,100219110,Civil Engineering,I,LSTS,57303,58.0509972
1002,"Government College of Engineering, Amravati",Government Autonomous,100219110,Civil Engineering,I,LVJS,33671,77.3804659
1002,"Government College of Engineering, Amravati",Government Autonomous,100219110,Civil Engineering,I,LNT1S,68369,46.0655482
1002,"Government College of Engineering, Amravati",Government Autonomous,100219110,Civil Engineering,I,LNT2S,47003,67.2915815
1002,"Government College of Engineering, Amravati",Government Autonomous,100219110,Civil Engineering,I,LOBCS,23336,84.6567494
1002,"Government College of Engineering, Amravati",Government Autonomous,100219110,Civil Engineering,I,PWDOPENS,62892,51.9482809
1002,"Government College of Engineering, Amravati",Government Autonomous,100219110,Civil Engineering,I,DEFOPENS,46444,67.7749226
1002,"Government College of Engineering, Amravati",Government Autonomous,100219110,Civil Engineering,I,TFWS,16897,88.8866448
1002,"Government College of Engineering, Amravati",Government Autonomous,100219110,Civil Engineering,I,DEFROBCS,71028,44.1945416
1002,"Government College of Engineering, Amravati",Government Autonomous,100219110,Civil Engineering,I,EWS,26147,82.7767101
1002,"Government College of Engineering, Amravati",Government Autonomous,100224210,Computer Science and Engineering,I,GOPENS,4731,96.8328566
1002,"Government College of Engineering, Amravati",Government Autonomous,100224210,Computer Science and Engineering,I,GSCS,8734,94.2649898
1002,"Government College of Engineering, Amravati",Government Autonomous,100224210,Computer Science and Engineering,I,GSTS,32517,78.1762608
1002,"Government College of Engineering, Amravati",Government Autonomous,100224210,Computer Science and Engineering,I,GVJS,16689,89.0926089
1002,"Government College of Engineering, Amravati",Government Autonomous,100224210,Computer Science and Engineering,I,GNT1S,9216,93.9671026
1002,"Government College of Engineering, Amravati",Government Autonomous,100224210,Computer Science and Engineering,I,GNT2S,5013,96.6278018
1002,"Government College of Engineering, Amravati",Government Autonomous,100224210,Computer Science and Engineering,I,GNT3S,10315,93.2254498
1002,"Government College of Engineering, Amravati",Government Autonomous,100224210,Computer Science and Engineering,I,GOBCS,5452,96.3605852
1002,"Government College of Engineering, Amravati",Government Autonomous,100224210,Computer Science and Engineering,I,LOPENS,4280,97.1143109
1002,"Government College of Engineering, Amravati",Government Autonomous,100224210,Computer Science and Engineering,I,LSCS,13443,91.1411105
1002,"Government College of Engineering, Amravati",Government Autonomous,100224210,Computer Science and Engineering,I,LSTS,24468,83.9803841
1002,"Government College of Engineering, Amravati",Government Autonomous,100224210,Computer Science and Engineering,I,LVJS,13177,91.3860690
1002,"Government College of Engineering, Amravati",Government Autonomous,100224210,Computer Science and Engineering,I,LNT1S,8590,94.3333506
1002,"Government College of Engineering, Amravati",Government Autonomous,100224210,Computer Science and Engineering,I,LNT2S,15015,90.1502416
1002,"Government College of Engineering, Amravati",Government Autonomous,100224210,Computer Science and Engineering,I,LOBCS,5729,96.2010124
1002,"Government College of Engineering, Amravati",Government Autonomous,100224210,Computer Science and Engineering,I,PWDOPENS,27025,82.1745519
1002,"Government College of Engineering, Amravati",Government Autonomous,100224210,Computer Science and Engineering,I,DEFOPENS,11104,92.7475757
1002,"Government College of Engineering, Amravati",Government Autonomous,100224210,Computer Science and Engineering,I,TFWS,3541,97.5903614
1002,"Government College of Engineering, Amravati",Government Autonomous,100224210,Computer Science and Engineering,I,"PWDROBC
S",42953,70.7140758
1002,"Government College of Engineering, Amravati",Government Autonomous,100224210,Computer Science and Engineering,I,DEFROBCS,23851,84.2624154
1002,"Government College of Engineering, Amravati",Government Autonomous,100224210,Computer Science and Engineering,I,EWS,5378,96.3865715
1002,"Government College of Engineering, Amravati",Government Autonomous,100224610,Information Technology,I,GOPENS,6919,95.3951022
1002,"Government College of Engineering, Amravati",Government Autonomous,100224610,Information Technology,I,GSCS,15257,90.0276575
1002,"Government College of Engineering, Amravati",Government Autonomous,100224610,Information Technology,I,GSTS,44970,68.5685433
1002,"Government College of Engineering, Amravati",Government Autonomous,100224610,Information Technology,I,GVJS,22403,85.2776363
1002,"Government College of Engineering, Amravati",Government Autonomous,100224610,Information Technology,I,GNT1S,12800,91.5971454
1002,"Government College of Engineering, Amravati",Government Autonomous,100224610,Information Technology,I,GNT2S,10065,93.3643237
1002,"Government College of Engineering, Amravati",Government Autonomous,100224610,Information Technology,I,GNT3S,13598,91.0594030
1002,"Government College of Engineering, Amravati",Government Autonomous,100224610,Information Technology,I,GOBCS,7557,94.9929881
1002,"Government College of Engineering, Amravati",Government Autonomous,100224610,Information Technology,I,LOPENS,7932,94.7678084
1002,"Government College of Engineering, Amravati",Government Autonomous,100224610,Information Technology,I,LSCS,17620,88.4849114
1002,"Government College of Engineering, Amravati",Government Autonomous,100224610,Information Technology,I,LSTS,38033,74.2590255
1002,"Government College of Engineering, Amravati",Government Autonomous,100224610,Information Technology,I,LVJS,28406,81.2701101
1002,"Government College of Engineering, Amravati",Government Autonomous,100224610,Information Technology,I,LNT1S,17143,88.7526385
1002,"Government College of Engineering, Amravati",Government Autonomous,100224610,Information Technology,I,LNT2S,17062,88.7543704
1002,"Government College of Engineering, Amravati",Government Autonomous,100224610,Information Technology,I,LOBCS,8290,94.5367331
1002,"Government College of Engineering, Amravati",Government Autonomous,100224610,Information Technology,I,PWDOPENS,62864,51.9482809
1002,"Government College of Engineering, Amravati",Government Autonomous,100224610,Information Technology,I,DEFOPENS,22103,85.4775879
1002,"Government College of Engineering, Amravati",Government Autonomous,100224610,Information Technology,I,TFWS,5980,96.0417728
1002,"Government College of Engineering, Amravati",Government Autonomous,100224610,Information Technology,I,"PWDROBC
S",62924,51.9482809
1002,"Government College of Engineering, Amravati",Government Autonomous,100224610,Information Technology,I,DEFROBCS,24845,83.6917866
1002,"Government College of Engineering, Amravati",Government Autonomous,100224610,Information Technology,I,EWS,8743,94.2649898
1002,"Government College of Engineering, Amravati",Government Autonomous,100229310,Electrical Engineering,I,GOPENS,18371,87.9438958
1002,"Government College of Engineering, Amravati",Government Autonomous,100229310,Electrical Engineering,I,GSCS,31678,78.9161727
1002,"Government College of Engineering, Amravati",Government Autonomous,100229310,Electrical Engineering,I,GSTS,42891,70.7243564
1002,"Government College of Engineering, Amravati",Government Autonomous,100229310,Electrical Engineering,I,GVJS,40873,72.1238249
1002,"Government College of Engineering, Amravati",Government Autonomous,100229310,Electrical Engineering,I,GNT1S,34210,77.2185430
1002,"Government College of Engineering, Amravati",Government Autonomous,100229310,Electrical Engineering,I,GNT2S,20292,86.7142129
1002,"Government College of Engineering, Amravati",Government Autonomous,100229310,Electrical Engineering,I,GNT3S,58257,56.6347972
1002,"Government College of Engineering, Amravati",Government Autonomous,100229310,Electrical Engineering,I,GOBCS,21196,86.0186822
1002,"Government College of Engineering, Amravati",Government Autonomous,100229310,Electrical Engineering,I,LOPENS,19487,87.2410374
1002,"Government College of Engineering, Amravati",Government Autonomous,100229310,Electrical Engineering,I,LSCS,23172,84.7756139
1002,"Government College of Engineering, Amravati",Government Autonomous,100229310,Electrical Engineering,I,LSTS,31032,79.3664875
1002,"Government College of Engineering, Amravati",Government Autonomous,100229310,Electrical Engineering,I,LVJS,62714,52.0169076
