college_code,college_name,college_type,branch_code,branch_name,cap_round,category,closing_rank,closing_percentile
1002,"Government College of Engineering, Amravati",Government Autonomous,100219110,Civil Engineering,I,GOPENS,40678,77.8495773
1002,"Government College of Engineering, Amravati",Government Autonomous,100219110,Civil Engineering,I,GSCS,55830,68.2985361
1002,"Government College of Engineering, Amravati",Government Autonomous,100219110,Civil Engineering,I,GSTS,86718,43.3167495
1002,"Government College of Engineering, Amravati",Government Autonomous,100219110,Civil Engineering,I,GVJS,45691,74.5106403
1002,"Government College of Engineering, Amravati",Government Autonomous,100219110,Civil Engineering,I,GNT1S,41586,77.0666918
1002,"Government College of Engineering, Amravati",Government Autonomous,100219110,Civil Engineering,I,GNT2S,51711,70.9263207
1002,"Government College of Engineering, Amravati",Government Autonomous,100219110,Civil Engineering,I,GNT3S,49334,72.5765063
1002,"Government College of Engineering, Amravati",Government Autonomous,100219110,Civil Engineering,I,GOBCS,46967,74.0962113
1002,"Government College of Engineering, Amravati",Government Autonomous,100219110,Civil Engineering,I,LOPENS,30535,83.4045178
1002,"Government College of Engineering, Amravati",Government Autonomous,100219110,Civil Engineering,I,LSCS,50420,71.6451268
1002,"Government College of Engineering, Amravati",Government Autonomous,100219110,Civil Engineering,I,LSTS,79098,50.9996691
1002,"Government College of Engineering, Amravati",Government Autonomous,100219110,Civil Engineering,I,LVJS,40679,77.8495773
1002,"Government College of Engineering, Amravati",Government Autonomous,100219110,Civil Engineering,I,LNT2S,72814,55.8902921
1002,"Government College of Engineering, Amravati",Government Autonomous,100219110,Civil Engineering,I,LOBCS,41709,77.0666918
1002,"Government College of Engineering, Amravati",Government Autonomous,100219110,Civil Engineering,I,DEFOPENS,88218,42.7946749
1002,"Government College of Engineering, Amravati",Government Autonomous,100219110,Civil Engineering,I,TFWS,19635,89.4077610
1002,"Government College of Engineering, Amravati",Government Autonomous,100219110,Civil Engineering,I,DEFROBCS,98060,32.4992712
1002,"Government College of Engineering, Amravati",Government Autonomous,100219110,Civil Engineering,I,EWS,52672,70.2135829
1002,"Government College of Engineering, Amravati",Government Autonomous,100224210,Computer Science and Engineering,I,GOPENS,6412,96.4453291
1002,"Government College of Engineering, Amravati",Government Autonomous,100224210,Computer Science and Engineering,I,GSCS,9920,94.6469248
1002,"Government College of Engineering, Amravati",Government Autonomous,100224210,Computer Science and Engineering,I,GSTS,41139,77.1458362
1002,"Government College of Engineering, Amravati",Government Autonomous,100224210,Computer Science and Engineering,I,GVJS,17056,90.8078665
1002,"Government College of Engineering, Amravati",Government Autonomous,100224210,Computer Science and Engineering,I,GNT1S,7766,95.7384206
1002,"Government College of Engineering, Amravati",Government Autonomous,100224210,Computer Science and Engineering,I,GNT2S,9524,94.8196814
1002,"Government College of Engineering, Amravati",Government Autonomous,100224210,Computer Science and Engineering,I,GNT3S,10818,94.1471246
1002,"Government College of Engineering, Amravati",Government Autonomous,100224210,Computer Science and Engineering,I,GOBCS,6904,96.1905225
1002,"Government College of Engineering, Amravati",Government Autonomous,100224210,Computer Science and Engineering,I,LOPENS,4603,97.3751017
1002,"Government College of Engineering, Amravati",Government Autonomous,100224210,Computer Science and Engineering,I,LSCS,8998,95.1073753
1002,"Government College of Engineering, Amravati",Government Autonomous,100224210,Computer Science and Engineering,I,LSTS,32400,82.4244430
1002,"Government College of Engineering, Amravati",Government Autonomous,100224210,Computer Science and Engineering,I,LVJS,15893,91.4761117
1002,"Government College of Engineering, Amravati",Government Autonomous,100224210,Computer Science and Engineering,I,LNT1S,7378,95.9513400
1002,"Government College of Engineering, Amravati",Government Autonomous,100224210,Computer Science and Engineering,I,LNT2S,14019,92.4735769
1002,"Government College of Engineering, Amravati",Government Autonomous,100224210,Computer Science and Engineering,I,LOBCS,6218,96.5320687
1002,"Government College of Engineering, Amravati",Government Autonomous,100224210,Computer Science and Engineering,I,PWDOPENS,79110,50.9996691
